"LGD2014","LGD2014NAME","DZ2021","DZ2021_name","SDZ2021","SDZ2021_name"
"N09000003","Belfast","N20001304","Black_Mountain_B3","N21000302","Black_Mountain_B"
"N09000003","Belfast","N20001314","Black_Mountain_E3","N21000305","Black_Mountain_E"
"N09000003","Belfast","N20001305","Black_Mountain_B4","N21000302","Black_Mountain_B"
"N09000003","Belfast","N20001436","Court_T2","N21000332","Court_T"
"N09000003","Belfast","N20000765","Oldpark_Q2","N21000174","Oldpark_Q"
"N09000003","Belfast","N20001398","Court_K2","N21000325","Court_K"
"N09000003","Belfast","N20000785","Oldpark_U4","N21000178","Oldpark_U"
"N09000003","Belfast","N20000784","Oldpark_T4","N21000177","Oldpark_T"
"N09000001","Antrim and Newtownabbey","N20000030","Dunsilly_B5","N21000002","Dunsilly_B"
"N09000003","Belfast","N20001396","Court_K1","N21000325","Court_K"
"N09000003","Belfast","N20000783","Oldpark_U3","N21000178","Oldpark_U"
"N09000003","Belfast","N20001387","Court_G1","N21000322","Court_G"
"N09000003","Belfast","N20001389","Court_G2","N21000322","Court_G"
"N09000003","Belfast","N20001406","Court_K3","N21000325","Court_K"
"N09000003","Belfast","N20001395","Court_G3","N21000322","Court_G"
"N09000003","Belfast","N20001399","Court_H4","N21000323","Court_H"
"N09000003","Belfast","N20001397","Court_H3","N21000323","Court_H"
"N09000003","Belfast","N20001393","Court_H2","N21000323","Court_H"
"N09000003","Belfast","N20001383","Court_D2","N21000319","Court_D"
"N09000003","Belfast","N20001390","Court_H1","N21000323","Court_H"
"N09000003","Belfast","N20001385","Court_D3","N21000319","Court_D"
"N09000003","Belfast","N20001411","Court_P2","N21000328","Court_P"
"N09000003","Belfast","N20001409","Court_K4","N21000325","Court_K"
"N09000003","Belfast","N20001408","Court_P1","N21000328","Court_P"
"N09000003","Belfast","N20001410","Court_S1","N21000331","Court_S"
"N09000003","Belfast","N20001415","Court_P3","N21000328","Court_P"
"N09000003","Belfast","N20001412","Court_K5","N21000325","Court_K"
"N09000003","Belfast","N20001407","Court_N1","N21000327","Court_N"
"N09000003","Belfast","N20001425","Court_U1","N21000333","Court_U"
"N09000003","Belfast","N20001400","Court_F3","N21000321","Court_F"
"N09000003","Belfast","N20001381","Court_D1","N21000319","Court_D"
"N09000003","Belfast","N20001382","Court_B4","N21000317","Court_B"
"N09000003","Belfast","N20001394","Court_F2","N21000321","Court_F"
"N09000003","Belfast","N20001375","Court_B2","N21000317","Court_B"
"N09000003","Belfast","N20001384","Court_F1","N21000321","Court_F"
"N09000003","Belfast","N20001377","Court_B3","N21000317","Court_B"
"N09000003","Belfast","N20001417","Court_R2","N21000330","Court_R"
"N09000003","Belfast","N20001404","Court_J3","N21000324","Court_J"
"N09000003","Belfast","N20001376","Court_C3","N21000318","Court_C"
"N09000003","Belfast","N20001402","Court_L1","N21000326","Court_L"
"N09000003","Belfast","N20001379","Court_J1","N21000324","Court_J"
"N09000003","Belfast","N20001386","Court_E2","N21000320","Court_E"
"N09000003","Belfast","N20001392","Court_E5","N21000320","Court_E"
"N09000003","Belfast","N20001403","Court_L2","N21000326","Court_L"
"N09000003","Belfast","N20001380","Court_E1","N21000320","Court_E"
"N09000003","Belfast","N20001391","Court_E4","N21000320","Court_E"
"N09000003","Belfast","N20001416","Court_R1","N21000330","Court_R"
"N09000003","Belfast","N20001378","Court_C4","N21000318","Court_C"
"N09000003","Belfast","N20001405","Court_L3","N21000326","Court_L"
"N09000003","Belfast","N20001373","Court_A3","N21000316","Court_A"
"N09000003","Belfast","N20001372","Court_C2","N21000318","Court_C"
"N09000003","Belfast","N20001370","Court_A1","N21000316","Court_A"
"N09000003","Belfast","N20001369","Court_C1","N21000318","Court_C"
"N09000003","Belfast","N20001388","Court_E3","N21000320","Court_E"
"N09000003","Belfast","N20000825","Castle_Q1","N21000192","Castle_Q"
