PC5,ACTIVE,X,Y,LGD2014,LGD2014NAME,WARD2014,WARD2014NAME,DEA2014,DEA2014NAME,AA2008,AA2008NAME,WARD1992,WARD1992NAME,LGD1992,LGD1992NAME,HSCT,HSCTNAME,DZ2021,DZ2021_name,SDZ2021,SDZ2021_name,AA2024,AA2024NAME,SA2011,SOA2001,SOA2001NAME,SOA2001_OLD,SOA2001NAME_OLD,COA2001,SETTLEMENT15,SETTLEMENT15_URBAN_RURAL
BT204XW,0,999999,999999,000000000,NA,000000000,NA,000000000,NA,000000000,NA,000000,NA,0000,NA,N/A,N/A,000000000,NA,000000000,NA,000000000,NA,000000000,00000000,NA,00000000,NA,0000000000,0000000000000000000000000000000,00000
BT204XX,1,351501,380684,N09000011,Ards and North Down,N08001111,Castle (North Down and Ards),N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX05,BANGOR CASTLE,95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003650,Bangor_Central_J1,N21000823,Bangor_Central_J,N05000013,North Down,N00004153,95XX05W1,Bangor Castle,95XX05W1,Bangor Castle,95XX050006,BANGOR,URBAN
BT204XY,1,351040,381788,N09000011,Ards and North Down,N08001108,Broadway,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX07,BROADWAY,95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003633,Bangor_Central_F2,N21000820,Bangor_Central_F,N05000013,North Down,N00004176,95XX07S2,Broadway_2,95XX07S2,Broadway_2,95XX070006,BANGOR,URBAN
BT204XZ,1,351040,381788,N09000011,Ards and North Down,N08001108,Broadway,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX07,BROADWAY,95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003633,Bangor_Central_F2,N21000820,Bangor_Central_F,N05000013,North Down,N00004176,95XX07S2,Broadway_2,95XX07S2,Broadway_2,95XX070006,BANGOR,URBAN
BT204YA,0,999999,999999,000000000,NA,000000000,NA,000000000,NA,000000000,NA,000000,NA,0000,NA,N/A,N/A,000000000,NA,000000000,NA,000000000,NA,000000000,00000000,NA,00000000,NA,0000000000,0000000000000000000000000000000,00000
BT204YG,0,351501,380684,N09000011,Ards and North Down,N08001111,Castle (North Down and Ards),N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX05,BANGOR CASTLE,95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003650,Bangor_Central_J1,N21000823,Bangor_Central_J,N05000013,North Down,N00004153,95XX05W1,Bangor Castle,95XX05W1,Bangor Castle,95XX050006,BANGOR,URBAN
BT204YH,0,351501,380684,N09000011,Ards and North Down,N08001111,Castle (North Down and Ards),N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX05,BANGOR CASTLE,95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003650,Bangor_Central_J1,N21000823,Bangor_Central_J,N05000013,North Down,N00004153,95XX05W1,Bangor Castle,95XX05W1,Bangor Castle,95XX050006,BANGOR,URBAN
BT204YJ,0,351501,380684,N09000011,Ards and North Down,N08001111,Castle (North Down and Ards),N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX05,BANGOR CASTLE,95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003650,Bangor_Central_J1,N21000823,Bangor_Central_J,N05000013,North Down,N00004153,95XX05W1,Bangor Castle,95XX05W1,Bangor Castle,95XX050006,BANGOR,URBAN
BT204YL,0,351501,380684,N09000011,Ards and North Down,N08001111,Castle (North Down and Ards),N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX05,BANGOR CASTLE,95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003650,Bangor_Central_J1,N21000823,Bangor_Central_J,N05000013,North Down,N00004153,95XX05W1,Bangor Castle,95XX05W1,Bangor Castle,95XX050006,BANGOR,URBAN
BT204YN,0,666666,666666,N09000011,Ards and North Down,N08001111,Castle (North Down and Ards),N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX05,BANGOR CASTLE,95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003650,Bangor_Central_J1,N21000823,Bangor_Central_J,N05000013,North Down,N00004153,95XX05W1,Bangor Castle,95XX05W1,Bangor Castle,95XX050006,BANGOR,URBAN
